id,topic,english,target,box,due,misses,notes
1,morning,I just woke up and I'm not fully awake yet.,Me acabo de despertar y todavía no estoy despierto del todo.,0,,0,SEED
2,morning,I'm going to make myself a coffee before anything else.,Voy a hacerme un café antes de cualquier otra cosa.,0,,0,SEED
3,morning,I have class at ten today and then I'm going to the library.,Hoy tengo clase a las diez y después voy a la biblioteca.,0,,0,SEED
4,work,This meeting could have been an email.,Esta reunión pudo haber sido un correo.,0,,0,SEED
5,work,I'm working on a machine learning project.,Estoy trabajando en un proyecto de aprendizaje automático.,0,,0,SEED
6,work,"Basically, I teach a program to find patterns in a lot of data.","Básicamente, le enseño a un programa a encontrar patrones en muchos datos.",0,,0,SEED
7,work,My code broke again and I don't know why.,Se me rompió el código otra vez y no sé por qué.,0,,0,SEED
8,work,I've tried everything already and it still doesn't work.,Ya probé de todo y sigue sin funcionar.,0,,0,SEED
9,glue,"Can you explain that again, but slower?","¿Me puedes explicar eso otra vez, pero más despacio?",0,,0,SEED
10,glue,"Sorry, I didn't understand even half of what you said.","Perdón, no entendí ni la mitad de lo que dijiste.",0,,0,SEED
11,glue,How do you say this in Spanish?,¿Cómo se dice esto en español?,0,,0,SEED
12,glue,"I've been learning Spanish for a few months, so be patient with me.","Llevo unos meses aprendiendo español, así que ten paciencia conmigo.",0,,0,SEED
13,self,I'm from California and I study in Santa Cruz.,Soy de California y estudio en Santa Cruz.,0,,0,SEED
14,self,"I study computer science, but I'm more interested in artificial intelligence.","Estudio informática, pero me interesa más la inteligencia artificial.",0,,0,SEED
15,self,I started because I wanted to understand how these things work underneath.,Empecé porque quería entender cómo funcionan estas cosas por dentro.,0,,0,SEED
16,self,On weekends I usually go for a walk or stay in and read.,Los fines de semana normalmente salgo a caminar o me quedo leyendo.,0,,0,SEED
17,self,"Honestly, I haven't had much free time lately.",La verdad es que no he tenido mucho tiempo libre últimamente.,0,,0,SEED
18,transaction,"Could you bring me the check, please?","¿Me traes la cuenta, por favor?",0,,0,SEED
19,transaction,How much does this cost?,¿Cuánto cuesta esto?,0,,0,SEED
20,transaction,I'd like a latte and something to eat.,Quisiera un café con leche y algo de comer.,0,,0,SEED
21,transaction,"Excuse me, where's the bathroom?","Disculpa, ¿dónde está el baño?",0,,0,SEED
22,transaction,Can you give me the wifi password?,¿Me pasas la contraseña del wifi?,0,,0,SEED
23,opinion,"I think that's overrated, but I understand why people like it.","Creo que eso está sobrevalorado, pero entiendo por qué le gusta a la gente.",0,,0,SEED
24,opinion,"I partly agree, but not completely.","Estoy de acuerdo en parte, pero no del todo.",0,,0,SEED
25,opinion,It depends on what you mean.,Depende de a qué te refieras.,0,,0,SEED
26,glue,"Hold on a second, I'm thinking.","Espérame un segundo, estoy pensando.",0,,0,SEED
27,social,"I have to go now, it got late.","Ya me tengo que ir, se me hizo tarde.",0,,0,SEED
28,social,I'll let you know when I get there.,Te aviso cuando llegue.,0,,0,SEED
29,social,I'm tired because I went to bed really late last night.,Estoy cansado porque anoche me dormí muy tarde.,0,,0,SEED
30,question,And what do you do for a living?,¿Y tú a qué te dedicas?,0,,0,SEED
31,question,How long have you lived here?,¿Desde cuándo vives aquí?,0,,0,SEED
32,question,What do you recommend?,¿Qué me recomiendas?,0,,0,SEED
